Statement Period,Transaction Month,Label,Artist,Parent Asset Title/Name,Child Asset Title/Name,Parent Asset Identifier,Child Asset Identifier,Release Catalog ID,Track Catalog ID,Format,Parent Asset ID,Child Asset ID,Account ID,Contract ID,Payee ID,Service,Channel,Territory,Quantity,Gross Revenue in USD,Mechanical Royalties Deducted,Contract Rate %,Net Revenue in USD,Your Share %,Amount Due in USD,Opening Balance in USD,Closing Balance in USD
2025-03,2024-12,Kishor Aive Official,Kishor Aive,Papi,Papi,,QZN882424335,,,Track,10844312,10844313,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Saudi Arabia,5,0.0005730963,0,80,0.000458477,100,0.000458477,0.3649,1.035411153
2025-03,2024-05,Kishor Aive Official,Kishor Aive,Ami Morar Pore,Ami Morar Pore,,QZN882424490,,,Track,10844228,10844229,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Singapore,1,0.000004186,0,80,0.0000033488,100,0.0000033488,,
2025-03,2024-12,Kishor Aive Official,Kishor Aive,Mukher Mayay Poira,Mukher Mayay Poira,,QZN882424492,,,Track,10844290,10844291,592185,792544,648298,Facebook Rights Manager,Claimed UGC,Bangladesh,13,0.0000200185,0,80,0.0000160148,100,0.0000160148,,
2025-03,2024-12,Kishor Aive Official,Kishor Aive,Diba Nishi Puri,Diba Nishi Puri,,QZN882424338,,,Track,10844357,10844358,592185,792544,648298,Facebook Audio Library,Digital Licensing,Bangladesh,263,0.0000058719,0,80,0.0000046975,100,0.0000046975,,
2025-03,2024-12,Kishor Aive Official,Dukhi Shahin,Beiman Priya,Beiman Priya,,QZN882424328,,,Track,10844251,10844252,592185,792544,648298,Facebook Audio Library,Digital Licensing,Cyprus,2,0.0000029166,0,80,0.0000023333,100,0.0000023333,,
2025-03,2024-12,Kishor Aive Official,Kishor Aive,Ruper Pori,Ruper Pori,,QZN882424329,,,Track,10844381,10844382,592185,792544,648298,Facebook Audio Library,Digital Licensing,Lebanon,1,0.0000002404,0,80,0.0000001923,100,0.0000001923,,
2025-03,2024-12,Kishor Aive Official,Kishor Aive,Bukeri Pajore,Bukeri Pajore,7316479320963,QZN882424368,,,Track,10844370,10844371,592185,792544,648298,Amazon Music Unlimited,Subscription Streaming,United Kingdom,1,0.0115615359,0,80,0.0092492287,100,0.0092492287,,
2025-03,2024-12,Kishor Aive Official,Dukhi Shahin,Adhek Bacha Adhek Mora,Adhek Bacha Adhek Mora,,QZN882424495,,,Track,10844236,10844237,592185,792544,648298,Facebook Audio Library,Digital Licensing,Iraq,1,0.0000002581,0,80,0.0000002065,100,0.0000002065,,
2025-03,2024-12,Kishor Aive Official,Dukhi Shahin,Beiman Priya,Beiman Priya,,QZN882424328,,,Track,10844251,10844252,592185,792544,648298,Facebook Audio Library,Digital Licensing,India,409,0.0000679647,0,80,0.0000543718,100,0.0000543718,,
2025-03,2024-12,Kishor Aive Official,Dukhi Shahin,Beiman,Beiman,,QZN882424489,,,Track,10844191,10844192,592185,792544,648298,Facebook Audio Library,Digital Licensing,Malaysia,64,0.0001257884,0,80,0.0001006307,100,0.0001006307,,
2025-03,2024-05,Kishor Aive Official,Kishor Aive,Ami Morar Pore,Ami Morar Pore,,QZN882424490,,,Track,10844228,10844229,592185,792544,648298,Facebook Rights Manager,Claimed UGC,United Arab Emirates,3,0.0000019205,0,80,0.0000015364,100,0.0000015364,,
